date,first_dose,second_dose,icu,hospital,positive_tests
11/01/2021,163377,2758,126,1664,
12/01/2021,175942,2857,133,1717,
13/01/2021,191965,2990,134,1794,
14/01/2021,208207,3190,142,1840,
15/01/2021,224840,3331,141,1881,
16/01/2021,241924,3512,145,1893,
17/01/2021,260140,3657,147,1918,
18/01/2021,264991,3698,146,1959,
19/01/2021,284582,3886,150,1989,
20/01/2021,309909,4170,156,2003,
21/01/2021,334871,4466,161,2004,
22/01/2021,358454,4689,161,2053,
23/01/2021,380667,5188,159,2026,
24/01/2021,404038,5383,157,2010,
25/01/2021,415402,5538,151,2016,
26/01/2021,437900,6060,149,2010,
27/01/2021,462092,6596,145,2016,
28/01/2021,491658,6783,142,1983,
29/01/2021,515855,7095,144,1958,
30/01/2021,543370,7638,142,1952,
31/01/2021,566269,7794,143,1941,
01/02/2021,575897,7849,143,1958,
02/02/2021,610778,8345,140,1934,
03/02/2021,649262,8758,131,1865,
04/02/2021,694347,9031,127,1812,
05/02/2021,742512,9529,123,1794,
06/02/2021,786427,10332,117,1729,
07/02/2021,839266,10582,108,1710,
08/02/2021,866823,10690,108,1672,
09/02/2021,928122,12257,112,1618,
10/02/2021,985569,12866,113,1542,
11/02/2021,1048747,13195,109,1499,
12/02/2021,1113625,13566,115,1472,
13/02/2021,1173445,14009,110,1449,
14/02/2021,1223774,14281,104,1443,
15/02/2021,1255190,14501,102,1428,
16/02/2021,1288004,17137,100,1383,
17/02/2021,1320074,20409,99,1317,
18/02/2021,1354966,24169,95,1261,
19/02/2021,1386152,29015,98,1222,
20/02/2021,1412643,33473,98,1154,
21/02/2021,1431942,35479,99,1132,
22/02/2021,1445488,37342,99,1141,
23/02/2021,1465241,43203,93,1076,
24/02/2021,1488077,50121,93,1018,
25/02/2021,1515980,56661,89,967,
26/02/2021,1542929,65340,80,924,
27/02/2021,1570153,72178,74,898,
28/02/2021,1593695,76512,78,837,
01/03/2021,1611578,78865,71,824,
02/03/2021,1634361,84445,71,784,
03/03/2021,1661879,92550,69,750,
04/03/2021,1688608,100058,67,718,
05/03/2021,1717672,108197,64,666,
06/03/2021,1743869,114081,63,639,
07/03/2021,1759750,115930,61,628,
08/03/2021,1774659,118732,59,654,
09/03/2021,1789377,123686,49,614,
10/03/2021,1809158,132760,49,582,
11/03/2021,1825800,141433,40,525,
12/03/2021,1844636,149409,38,512,
13/03/2021,1867123,156250,38,479,
14/03/2021,1888697,160038,40,461,
15/03/2021,1908991,161945,40,447,
16/03/2021,1943507,170892,42,440,
17/03/2021,1981818,181879,38,422,
18/03/2021,2023002,192100,38,405,
19/03/2021,2066460,201435,35,397,
20/03/2021,2110780,211272,31,367,
21/03/2021,2144940,220188,31,344,
22/03/2021,2182400,225096,33,353,
23/03/2021,2214672,235671,28,341,
24/03/2021,2249612,249252,31,321,
25/03/2021,2285711,263236,32,310,
26/03/2021,2322832,279814,26,296,
27/03/2021,2358807,294714,26,283,
28/03/2021,2386158,317217,22,264,
29/03/2021,2410281,331969,22,259,
30/03/2021,2437543,348635,23,250,
31/03/2021,2465541,372104,21,237,
01/04/2021,2493327,399062,21,215,
02/04/2021,2515748,414540,23,207,
03/04/2021,2535889,434941,18,201,
04/04/2021,2553837,451057,19,193,
05/04/2021,2565280,456374,18,202,
06/04/2021,2577816,463780,21,196,
07/04/2021,2593932,479239,21,192,
08/04/2021,2608831,500376,21,174,
09/04/2021,2625577,524812,19,167,
10/04/2021,2643524,551699,20,160,
11/04/2021,2657578,568875,21,149,
12/04/2021,2668723,590174,21,154,
13/04/2021,2682706,605126,20,133,
14/04/2021,2694971,634422,20,119,
15/04/2021,2708691,661975,16,115,
16/04/2021,2722084,688761,18,109,
17/04/2021,2733387,715714,16,105,
18/04/2021,2744231,738420,14,104,
19/04/2021,2747694,757115,14,104,
20/04/2021,2750052,797267,13,106,
21/04/2021,2752575,847655,14,107,
22/04/2021,2755175,898231,12,93,
23/04/2021,2758381,949228,12,93,
24/04/2021,2764607,993180,12,94,
25/04/2021,2771159,1042386,12,89,
26/04/2021,2773770,1068704,12,93,
27/04/2021,2782162,1102690,11,81,
28/04/2021,2789978,1142947,12,75,
29/04/2021,2796810,1184629,12,70,
30/04/2021,2802152,1224861,9,67,
01/05/2021,2811343,1263862,11,65,
02/05/2021,2817752,1297664,12,68,
03/05/2021,2824955,1326599,11,65,
04/05/2021,2833761,1348050,11,58,
05/05/2021,2846834,1373882,13,69,
06/05/2021,2860635,1400296,11,58,
07/05/2021,2876633,1424208,8,68,
08/05/2021,2883384,1450798,9,64,
09/05/2021,2897975,1468296,6,65,
10/05/2021,2909156,1485296,6,72,
11/05/2021,2928963,1506613,6,69,
12/05/2021,2948604,1526889,6,65,
13/05/2021,2968169,1551339,4,63,
14/05/2021,2985557,1575765,3,64,
15/05/2021,3003339,1599519,2,69,
16/05/2021,3020335,1621031,3,61,
17/05/2021,3035790,1638536,3,68,
18/05/2021,3045152,1669469,4,70,
19/05/2021,3051383,1704388,4,78,
20/05/2021,3063648,1742072,5,83,
21/05/2021,3082251,1769040,4,81,
22/05/2021,3096341,1799956,6,88,
23/05/2021,3108819,1828930,6,99,
24/05/2021,3121945,1852179,5,94,
25/05/2021,3138366,1881214,6,97,
26/05/2021,3155733,1913809,6,98,
27/05/2021,3174807,1942285,4,83,
28/05/2021,3196051,1971006,6,90,
29/05/2021,3215770,1998409,5,86,
30/05/2021,3234311,2022728,7,101,
31/05/2021,3251138,2044253,8,109,
01/06/2021,3267290,2075231,10,106,
02/06/2021,3286261,2106177,10,114,
03/06/2021,3305812,2137618,8,110,
04/06/2021,3326005,2170570,8,116,
05/06/2021,3345842,2202547,8,111,
06/06/2021,3365779,2227493,10,112,
07/06/2021,3386321,2251259,12,122,
08/06/2021,3403866,2282203,12,121,
09/06/2021,3422431,2313695,15,124,
10/06/2021,3441217,2345181,14,124,
11/06/2021,3459063,2375246,13,132,
12/06/2021,3477378,2402700,14,129,
13/06/2021,3497287,2425825,16,130,
14/06/2021,3517668,2446834,17,128,
15/06/2021,3531461,2470181,17,137,
16/06/2021,3551739,2493358,15,133,
17/06/2021,3571726,2516066,12,140,
18/06/2021,3591638,2535803,12,128,
19/06/2021,3611266,2555308,10,145,
20/06/2021,3630589,2571637,13,150,
21/06/2021,3647437,2586970,15,159,
22/06/2021,3664571,2602753,18,171,
23/06/2021,3681620,2617450,18,170,
24/06/2021,3695303,2631533,17,177,
25/06/2021,3709801,2647397,16,188,
26/06/2021,3730101,2666827,18,197,
27/06/2021,3747510,2679357,17,196,
28/06/2021,3765379,2691775,20,202,
29/06/2021,3781887,2701195,20,215,
30/06/2021,3799467,2712237,19,235,
01/07/2021,3816251,2722725,16,275,
02/07/2021,3831770,2737347,19,285,
03/07/2021,3844371,2749373,25,306,
04/07/2021,3857584,2762156,25,316,
05/07/2021,3869223,2774136,30,338,
06/07/2021,3879458,2791071,32,346,
07/07/2021,3890176,2808902,34,387,
08/07/2021,3900864,2825886,38,401,
09/07/2021,3911189,2843938,39,427,
10/07/2021,3920145,2861110,42,436,
11/07/2021,3928409,2877326,40,445,
12/07/2021,3934408,2893271,40,469,
13/07/2021,3941571,2903557,41,506,
14/07/2021,3948446,2914904,46,515,
15/07/2021,3956549,2927130,47,543,
16/07/2021,3963502,2940202,48,532,
17/07/2021,3970026,2954776,49,517,
18/07/2021,3976022,2966054,46,514,
19/07/2021,3981950,2978746,45,536,
20/07/2021,3984433,2995086,47,529,
21/07/2021,3987074,3010505,51,529,
22/07/2021,3989927,3028271,58,488,
23/07/2021,3992327,3044803,57,502,
24/07/2021,3994883,3064441,60,479,
25/07/2021,3997105,3079492,64,480,
26/07/2021,3998627,3092102,65,475,
27/07/2021,4000658,3108928,63,472,
28/07/2021,4002903,3125690,63,474,
29/07/2021,4005421,3145017,60,490,
30/07/2021,4007577,3162662,60,462,
31/07/2021,4009611,3180160,64,444,
01/08/2021,4011060,3197899,62,422,
02/08/2021,4012496,3214801,60,407,
03/08/2021,4014212,3231331,61,406,
04/08/2021,4016326,3249622,58,383,
05/08/2021,4018503,3268887,55,381,
06/08/2021,4020712,3286153,54,367,
07/08/2021,4022914,3305325,41,360,
08/08/2021,4024852,3323466,40,360,
09/08/2021,4026827,3342056,42,356,
10/08/2021,4029479,3357803,40,352,
11/08/2021,4034420,3375524,42,356,
12/08/2021,4039226,3393900,42,356,
13/08/2021,4044950,3412051,41,353,
14/08/2021,4050011,3431062,39,337,
15/08/2021,4054842,3449901,40,331,
16/08/2021,4058482,3467817,39,337,
17/08/2021,4061687,3482188,40,338,
18/08/2021,4065970,3498257,39,324,
19/08/2021,4068806,3512673,33,317,
20/08/2021,4071537,3526754,34,312,
21/08/2021,4075555,3541708,33,323,
22/08/2021,4079496,3556947,34,338,
23/08/2021,4082698,3572042,41,356,
24/08/2021,4085552,3587145,43,364,
25/08/2021,4088894,3603429,44,391,
26/08/2021,4092295,3617687,47,426,
27/08/2021,4095463,3629482,47,479,
28/08/2021,4098078,3640865,49,494,
29/08/2021,4101311,3655287,52,507,
30/08/2021,4103687,3668041,52,551,
31/08/2021,4106408,3680761,54,585,
01/09/2021,4108804,3691066,59,629,
02/09/2021,4111513,3699250,55,624,
03/09/2021,4114552,3709328,60,653,
04/09/2021,4117147,3717587,58,670,
05/09/2021,4121962,3726769,61,719,
06/09/2021,4126263,3736762,71,771,
07/09/2021,4128492,3743036,77,805,
08/09/2021,4130841,3749767,82,883,
09/09/2021,4133606,3757337,87,928,
10/09/2021,4135329,3762367,82,977,
11/09/2021,4137710,3769320,83,984,
12/09/2021,4140616,3777461,90,1023,
13/09/2021,4142783,3785214,90,1048,
14/09/2021,4144904,3788551,89,1065,
15/09/2021,4146847,3791597,91,1079,
16/09/2021,4148734,3795897,94,1054,
17/09/2021,4150157,3798938,87,1037,
18/09/2021,4151735,3802183,99,1051,
19/09/2021,4155048,3806980,100,1074,
20/09/2021,4157613,3810775,97,1088,
21/09/2021,4160835,3813547,94,1107,
22/09/2021,4163235,3815907,82,1076,
23/09/2021,4166056,3818428,86,1057,
24/09/2021,4168278,3820182,79,1011,
25/09/2021,4172573,3824074,80,1004,
26/09/2021,4176832,3827110,79,1003,
27/09/2021,4181617,3829881,76,1023,
28/09/2021,4184574,3832498,73,1026,
29/09/2021,4186743,3835013,71,1020,
30/09/2021,4189701,3837689,74,998,
01/10/2021,4194212,3840251,65,983,
02/10/2021,4199724,3843000,66,965,
03/10/2021,4208546,3845180,71,965,
04/10/2021,4217940,3847118,67,1001,
05/10/2021,4223719,3849656,65,998,
06/10/2021,4229178,3852067,68,988,
07/10/2021,4235075,3854847,69,980,
08/10/2021,4240984,3857442,64,957,
09/10/2021,4246101,3859839,61,943,
10/10/2021,4253765,3861899,54,935,
11/10/2021,4261124,3864670,56,933,
12/10/2021,4265755,3866372,51,935,
13/10/2021,4270126,3868656,51,918,
14/10/2021,4275208,3871406,50,908,
15/10/2021,4278937,3873790,45,848,
16/10/2021,4282132,3875966,47,841,
17/10/2021,4286044,3877849,45,829,
18/10/2021,4289119,3879942,44,857,
19/10/2021,4291650,3881744,46,869,
20/10/2021,4294116,3883886,51,890,
21/10/2021,4297028,3886176,58,917,
22/10/2021,4299649,3888408,60,894,
23/10/2021,4302382,3890477,61,896,
24/10/2021,4305582,3892224,58,899,
25/10/2021,4308371,3895239,57,902,
26/10/2021,4309932,3897133,59,917,
27/10/2021,4311339,3899153,57,925,
28/10/2021,4312204,3900427,58,932,
29/10/2021,4314144,3903299,60,932,
30/10/2021,4315802,3905177,65,927,
31/10/2021,4317601,3907056,64,910,
01/11/2021,4318783,3908244,68,932,
02/11/2021,4320370,3910253,63,939,
03/11/2021,4321770,3911823,63,942,
04/11/2021,4318790,3911105,63,904,
05/11/2021,4319877,3912518,59,851,
06/11/2021,4321350,3914397,55,832,
07/11/2021,4322157,3915116,57,802,
08/11/2021,4323549,3917210,54,788,
09/11/2021,4324440,3918528,57,764,
10/11/2021,4325307,3920006,61,790,
11/11/2021,4326392,3921971,60,773,
12/11/2021,4325523,3922893,55,759,
13/11/2021,4326637,3924305,53,773,
14/11/2021,4327340,3924870,51,759,
15/11/2021,4330321,3929012,57,771,
16/11/2021,4331574,3930317,57,779,
17/11/2021,4332835,3931709,57,774,
18/11/2021,4334346,3933493,63,786,
19/11/2021,4335881,3935095,64,785,
20/11/2021,4337089,3936594,62,792,
21/11/2021,4338322,3937949,58,752,
22/11/2021,4339277,3939128,59,750,
23/11/2021,4340162,3940314,60,743,
24/11/2021,4341224,3941715,66,708,
25/11/2021,4342107,3942927,59,721,
26/11/2021,4343208,3944225,60,734,
27/11/2021,4344043,3945451,53,727,
28/11/2021,4344985,3946514,55,709,
29/11/2021,4345855,3948483,52,715,
30/11/2021,4346736,3949736,54,706,
01/12/2021,4347880,3951364,54,702,
02/12/2021,4349058,3953170,48,680,
03/12/2021,4350133,3954992,46,652,
04/12/2021,4351214,3956719,50,605,
05/12/2021,4352104,3958162,46,583,
06/12/2021,4354064,3960681,43,591,
07/12/2021,4355063,3962203,38,576,
08/12/2021,4357567,3965437,42,581,
09/12/2021,4358725,3967477,39,578,
10/12/2021,4359959,3969494,40,573,
11/12/2021,4361197,3971488,33,552,
12/12/2021,4362468,3973761,37,541,
13/12/2021,4364519,3976670,39,561,
14/12/2021,4363074,3978208,38,541,
15/12/2021,4364802,3981180,38,544,
16/12/2021,4366439,3983975,34,532,
17/12/2021,4367798,3986305,33,522,
18/12/2021,4369398,3988961,34,494,
19/12/2021,4371171,3991879,38,504,
20/12/2021,4372129,3993642,38,516,
21/12/2021,4373917,3997192,37,515,
22/12/2021,4375588,4000171,40,536,
23/12/2021,4377002,4003377,38,540,
24/12/2021,4378172,4006076,36,524,
25/12/2021,,,33,527,
26/12/2021,,,35,528,
27/12/2021,,,37,555,
28/12/2021,,,37,599,
29/12/2021,4380108,4009886,36,679,
30/12/2021,4381226,4012490,34,811,
31/12/2021,4382665,4015376,36,859,
01/01/2022,4383209,4017043,34,897,
02/01/2022,4383212,4017045,36,953,
03/01/2022,4383212,4017051,38,1033,
04/01/2022,4384343,4022821,42,1152,
05/01/2022,4385227,4026878,42,1223,
06/01/2022,4387192,4033635,43,1267,
07/01/2022,4388543,4037434,48,1323,
08/01/2022,4390076,4041550,47,1356,
09/01/2022,4391558,4045667,53,1376,
10/01/2022,4392694,4048656,54,1432,
11/01/2022,4393689,4051635,54,1479,
12/01/2022,4394756,4054752,59,1537,358
13/01/2022,4395793,4057606,58,1560,373
14/01/2022,4396802,4060859,50,1544,375
15/01/2022,4397912,4064533,46,1556,374
16/01/2022,4398881,4077145,44,1567,365
17/01/2022,4400229,4087517,42,1567,353
18/01/2022,4401034,4090242,42,1546,341
19/01/2022,4401876,4092558,44,1571,326
20/01/2022,4402666,4094680,43,1514,311
21/01/2022,4404268,4099222,43,1511,304
22/01/2022,4405059,4102038,41,1465,299
23/01/2022,4405821,4105220,38,1440,293
24/01/2022,4406439,4108252,38,1435,289
25/01/2022,4406999,4112264,34,1394,281
26/01/2022,4407738,4115341,32,1389,269
27/01/2022,4408534,4117631,30,1319,256
28/01/2022,4409367,4119889,32,1302,245
29/01/2022,4410290,4122152,35,1263,239
30/01/2022,4410990,4124546,32,1217,233
31/01/2022,4411649,4127051,33,1207,228
01/02/2022,4416119,4129347,29,1177,223
02/02/2022,4417105,4130639,28,1116,219
03/02/2022,4417967,4131914,29,1084,218
04/02/2022,4418804,4132928,27,1042,213
05/02/2022,4419733,4134606,25,989,203
06/02/2022,4421427,4135751,24,955,195
07/02/2022,4422719,4136739,23,958,185
08/02/2022,4423415,4137747,18,950,174
09/02/2022,4423943,4138634,21,934,167
10/02/2022,4424596,4139618,19,904,157
11/02/2022,4425282,4140451,21,902,151
12/02/2022,4426094,4141713,20,872,146
13/02/2022,4427052,4142683,18,868,140
14/02/2022,4428021,4143511,18,884,135
15/02/2022,4428684,4144534,13,911,130
16/02/2022,4429337,4145785,13,912,122
17/02/2022,4429979,4146918,11,944,114
18/02/2022,4430717,4148237,10,960,103
19/02/2022,4431254,4149521,11,987,94
20/02/2022,4431881,4150430,10,1009,86
21/02/2022,4432566,4151403,13,1051,81
22/02/2022,4433160,4152325,12,1060,80
23/02/2022,4433601,4153359,11,1093,78
24/02/2022,4433961,4154182,11,1041,78
25/02/2022,4434404,4154924,11,1093,79
26/02/2022,4434953,4155979,14,1149,82
27/02/2022,4435562,4156667,14,1180,86
28/02/2022,4436113,4157209,19,1175,92
01/03/2022,4436511,4157929,18,1191,
02/03/2022,4436867,4158818,16,1226,
03/03/2022,4437162,4159556,16,1272,
04/03/2022,4437559,4160391,16,1267,
05/03/2022,4437902,4161058,15,1265,
06/03/2022,4438252,4161737,18,1305,
07/03/2022,4438528,4162451,18,1360,117
08/03/2022,4438843,4163548,19,1440,118
09/03/2022,4439150,4164671,19,1509,121
10/03/2022,4439451,4165704,22,1636,127
11/03/2022,4439695,4166614,23,1663,134
12/03/2022,,,26,1690,
13/03/2022,,,30,1727,
14/03/2022,,,27,1805,
15/03/2022,4441175,4171128,33,1996,180
16/03/2022,4441461,4171998,32,1999,193
17/03/2022,,,31,2037,202
18/03/2022,4441944,4173678,31,2050,210
19/03/2022,4442211,4174527,30,2095,
20/03/2022,4445839,4174839,29,2060,
21/03/2022,4449246,4175197,31,2128,
22/03/2022,4450515,4175888,29,2221,213
23/03/2022,4451641,4176494,25,2257,206
24/03/2022,4340913,4089448,26,2322,201
25/03/2022,4341965,4089894,28,2326,198
26/03/2022,4343587,4090617,24,2309,192
27/03/2022,4348247,4091458,21,2313,184
28/03/2022,4352430,4092082,21,2360,174
29/03/2022,4353178,4092407,20,2383,165
30/03/2022,4353991,4092791,20,2344,160
31/03/2022,4354556,4092996,25,2384,159
01/04/2022,4355289,4093341,22,2385,153
02/04/2022,4355653,4093822,23,2331,152
03/04/2022,4358955,4094601,20,2405,151
04/04/2022,4362070,4095356,23,2376,153
05/04/2022,4364117,4095979,24,2380,157
06/04/2022,4365478,4096193,24,2338,161
07/04/2022,4367783,4096768,27,2304,163
08/04/2022,4369103,4097075,23,2252,164
